date,model,dataset,params,mean_objective,std_objective,mean_time,std_time,worst_case,type,version
05 Jun 21,CatBoostClassifier,RFT,"{'n_estimators': 628, 'learning_rate': 0.16126159714604604, 'l2_leaf_reg': 2.0210783757637065, 'depth': 5, 'min_data_in_leaf': 688, 'grow_policy': 'Lossguide'}",-1.7535173064861003,0.0003809296572925059,413.23763449986774,108.34433954332518,-1.7538982361433928,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.022814940210367264, 'max_iter': 700, 'max_leaf_nodes': 86, 'max_depth': 7, 'min_samples_leaf': 174, 'l2_regularization': 3.2207506301708855, 'max_bins': 178}",-1.7531457295598025,0.0013203672205229387,349.06685217221576,26.69115065657153,-1.7544660967803254,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.036726387951036145, 'max_iter': 523, 'max_leaf_nodes': 129, 'max_depth': 4, 'min_samples_leaf': 950, 'l2_regularization': 3.6595217733002716, 'max_bins': 236}",-1.7510109550089312,0.003458076774058461,150.19927954673767,18.528664714498746,-1.7544690317829896,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.05322656080324328, 'max_iter': 177, 'max_leaf_nodes': 99, 'max_depth': 8, 'min_samples_leaf': 610, 'l2_regularization': 7.32725211529195, 'max_bins': 117}",-1.753298496064444,0.001180128162323599,148.20785204569498,12.617495924818623,-1.7544786242267676,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.004112873093250605, 'max_iter': 641, 'max_leaf_nodes': 102, 'max_depth': 7, 'min_samples_leaf': 574, 'l2_regularization': 7.998385651248926, 'max_bins': 173}",-1.753497560950321,0.0012295018627809435,1355.740265528361,44.58809728794787,-1.754727062813102,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.14445552409489898, 'max_iter': 340, 'max_leaf_nodes': 113, 'max_depth': 6, 'min_samples_leaf': 598, 'l2_regularization': 6.837458495988948, 'max_bins': 222}",-1.7563195828535354,0.0001956575262694367,55.84967748324076,2.202911601716633,-1.7565152403798048,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.17380126933248158, 'max_iter': 667, 'max_leaf_nodes': 42, 'max_depth': 9, 'min_samples_leaf': 540, 'l2_regularization': 8.783490360217373, 'max_bins': 156}",-1.7591618415755257,0.00033191311480024286,56.27685681978861,2.088113145182722,-1.759493754690326,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.3143977442249634, 'max_iter': 980, 'max_leaf_nodes': 78, 'max_depth': 4, 'min_samples_leaf': 693, 'l2_regularization': 1.7857084233556253, 'max_bins': 128}",-1.760561778473807,0.0006100349684647555,25.17978612581889,1.361763438082076,-1.7611718134422718,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.006077810108815368, 'max_iter': 408, 'max_leaf_nodes': 148, 'max_depth': 3, 'min_samples_leaf': 986, 'l2_regularization': 5.592674468588617, 'max_bins': 254}",-1.76181423003863,0.0004381692299185745,284.6833204428355,4.710679509226908,-1.7622523992685486,Hyper Parameter,1
05 Jun 21,HistGradientBoostingClassifier,RFT,"{'learning_rate': 0.21078712147591536, 'max_iter': 173, 'max_leaf_nodes': 32, 'max_depth': 9, 'min_samples_leaf': 470, 'l2_regularization': 0.18731772421309079, 'max_bins': 170}",-1.7618784850995894,0.0019864188280022703,43.23969276746114,0.445880533559878,-1.7638649039275918,Hyper Parameter,1
